key,en,fr,hu,pirate
sb.symbols.chain_title,Notation World,Monde Notation,Jelölés világ,Notation World
sb.symbols.exists.prompt,"Express in symbols: there is at least one natural number n that is strictly greater than 1. Which quantifier belongs in the open socket?","Express in symbols: there is at least one natural number n that is strictly greater than 1. Which quantifier belongs in the open socket?","Express in symbols: there is at least one natural number n that is strictly greater than 1. Which quantifier belongs in the open socket?","Pack: there be at least one natural n bigger than 1. Which quantifier?"
sb.symbols.exists.hint,"Use ∃ for “there exists,” not ∀ or ∄.","Use ∃ for “there exists,” not ∀ or ∄.","Use ∃ for “there exists,” not ∀ or ∄.","Ye want “there be,” not “for all” or “there ain't.”"
sb.symbols.exists.board,"There exists a natural number n such that n > 1.","There exists a natural number n such that n > 1.","There exists a natural number n such that n > 1.","There exists a natural number n such that n > 1."
sb.symbols.forall.prompt,"Express in symbols: every natural number n satisfies n ≥ 1. Which quantifier belongs in the open socket?","Express in symbols: every natural number n satisfies n ≥ 1. Which quantifier belongs in the open socket?","Express in symbols: every natural number n satisfies n ≥ 1. Which quantifier belongs in the open socket?","Pack: every natural n be at least 1. Which quantifier?"
sb.symbols.forall.hint,"Use ∀ for “for all,” not ∃.","Use ∀ for “for all,” not ∃.","Use ∀ for “for all,” not ∃.","Hoist ∀ — for every one of them."
sb.symbols.forall.board,"For every natural number n, one has n ≥ 1.","For every natural number n, one has n ≥ 1.","For every natural number n, one has n ≥ 1.","For every natural number n, one has n ≥ 1."
sb.symbols.divides.prompt,"Recall the definition of divisibility: a divides b if and only if there is an integer k with b = a·k. Which quantifier packs the witness for k?","Recall the definition of divisibility: a divides b if and only if there is an integer k with b = a·k. Which quantifier packs the witness for k?","Recall the definition of divisibility: a divides b if and only if there is an integer k with b = a·k. Which quantifier packs the witness for k?","a divides b iff there be an integer k with b = a·k. Which quantifier for k?"
sb.symbols.divides.hint,The witness is existential: ∃ k ∈ ℤ s.t. b = a·k.,The witness is existential: ∃ k ∈ ℤ s.t. b = a·k.,The witness is existential: ∃ k ∈ ℤ s.t. b = a·k.,Need a witness k — that's ∃.
sb.symbols.divides.board,"a divides b if and only if there exists an integer k such that b = a·k.","a divides b if and only if there exists an integer k such that b = a·k.","a divides b if and only if there exists an integer k such that b = a·k.","a divides b if and only if there exists an integer k such that b = a·k."
sb.symbols.flt_repair.prompt,"Someone packed FLT for n = 3 with the wrong quantifier: they wrote ∃ instead of the claim “there are no nonzero integers x, y, z with x³ + y³ + z³ = 0.” Repair the packing.","Someone packed FLT for n = 3 with the wrong quantifier: they wrote ∃ instead of the claim “there are no nonzero integers x, y, z with x³ + y³ + z³ = 0.” Repair the packing.","Someone packed FLT for n = 3 with the wrong quantifier: they wrote ∃ instead of the claim “there are no nonzero integers x, y, z with x³ + y³ + z³ = 0.” Repair the packing.","Someone packed FLT with ∃ by mistake. Repair it: no nonzero x, y, z with cubes summin' to 0."
sb.symbols.flt_repair.hint,The claim is non-existence — swap ∃ for ∄.,The claim is non-existence — swap ∃ for ∄.,The claim is non-existence — swap ∃ for ∄.,The claim says there ain't none — hoist ∄.
sb.symbols.flt_repair.board,"There do not exist nonzero integers x, y, z such that x³ + y³ + z³ = 0.","There do not exist nonzero integers x, y, z such that x³ + y³ + z³ = 0.","There do not exist nonzero integers x, y, z such that x³ + y³ + z³ = 0.","There do not exist nonzero integers x, y, z such that x³ + y³ + z³ = 0."
sb.token.exists,∃,∃,∃,∃
sb.token.nexists,∄,∄,∄,∄
sb.token.forall,∀,∀,∀,∀
sb.token.n,n,n,n,n
sb.token.k,k,k,k,k
sb.token.in,∈,∈,∈,∈
sb.token.N,ℕ,ℕ,ℕ,ℕ
sb.token.Z,ℤ,ℤ,ℤ,ℤ
sb.token.st,s.t.,s.t.,s.t.,s.t.
sb.token.n_gt_1,n > 1,n > 1,n > 1,n > 1
sb.token.n_ge_1,n ≥ 1,n ≥ 1,n ≥ 1,n ≥ 1
sb.token.a_div_b,a | b,a | b,a | b,a | b
sb.token.iff,⇔,⇔,⇔,⇔
sb.token.b_eq_ak,b = a·k,b = a·k,b = a·k,b = a·k
sb.token.xyz,"x, y, z","x, y, z","x, y, z","x, y, z"
sb.token.nonzero,nonzero,nonzero,nonzero,nonzero
sb.token.and,and,and,and,and
sb.token.cubesum0,x³ + y³ + z³ = 0,x³ + y³ + z³ = 0,x³ + y³ + z³ = 0,x³ + y³ + z³ = 0
sb.token.quant,(?),(?),(?),(?)
